node,community,delta
163,0,-0.0003938880074194971
163,1,-0.0006977600574647324
163,3,-0.000007910493223798687
162,0,-0.00045953600865607995
162,1,-0.0008140534003755212
162,2,-0.0003163288037424816
133,0,-0.00032824000618291425
133,2,-0.0006828483231118244
133,3,-0.0001132018857888444
132,0,-0.00045953600865607995
132,2,-0.0009559876523565541
132,3,-0.00011583871686344387
131,0,-0.00018066839121480628
131,2,-0.0008194179877341893
131,3,-0.0002211301094284896
130,0,-0.0003938880074194971
130,2,-0.0008194179877341893
130,3,-0.0004343497256331804
129,0,-0.0002625920049463314
129,2,-0.0005462786584894594
129,3,-0.00021849327835389004
128,0,-0.0003938880074194971
128,2,-0.0008194179877341893
128,3,-0.0004343497256331804
105,0,-0.00019694400370974855
105,2,-0.00040970899386709464
105,3,-0.0001105650547142448
104,0,-0.0001312960024731657
104,1,-0.000019367069616886643
104,2,-0.0002731393292447297
161,0,-0.0007877760148389942
161,3,-0.0004422602188569792
191,0,-0.0008208727910856924
184,0,-0.0003776123949245548
184,1,-0.0004069812375830261
171,0,-0.0009190720173121599
156,0,-0.0006076531748810016
155,0,-0.00036133678242961255
155,1,-0.0005426416501107014
154,0,-0.0006239287873759439
154,3,-0.0006607534972108693
153,0,-0.0004926327849027782
153,3,-0.0006581166661362696
141,0,-0.00027941316869808735
141,3,-0.0008713362823409603
140,1,-0.0009108887484599545
140,3,-0.0009819013370552052
110,3,-0.0003422424884411328
90,1,-0.00044562445160733046
85,1,-0.0009497138129031965
85,3,-0.00043962338778237955
78,0,-0.00024686194370820286
61,3,-0.0007686817208505145
47,3,-0.0006607534972108693
36,0,-0.0005089083973977205
36,3,-0.0009739908438314064
33,0,-0.0005745563986343033
274,0,-0.0007221280136024113
274,3,-0.0007607712276267156
273,0,-0.0005251840098926628
273,1,-0.0009303467432863099
273,3,-0.0008634257891171617
272,0,-0.0008371484035806347
271,0,-0.0006564800123658285
271,2,-0.0007260377976095763
270,0,-0.0005251840098926628
270,1,-0.0009303467432863099
270,2,-0.00045289846836484634
269,3,-0.000668663990434668
268,0,-0.0007221280136024113
268,3,-0.000334331995217334
267,0,-0.0003938880074194971
267,1,-0.0006977600574647324
267,3,-0.0004343497256331804
266,0,-0.0001312960024731657
266,1,-0.00023258668582157747
266,3,-0.00021585644727929043
265,0,-0.00032824000618291425
265,1,-0.0005814667145539437
265,2,-0.000043189474497751863
264,0,-0.0002625920049463314
264,1,-0.00046517337164315493
264,2,-0.0001198394260800778
263,0,-0.00032824000618291425
263,1,-0.0005814667145539437
263,2,-0.000043189474497751863
262,0,-0.0002625920049463314
262,1,-0.00046517337164315493
262,2,-0.0001198394260800778
261,0,-0.00032824000618291425
261,1,-0.0005814667145539437
261,3,-0.0001132018857888444
260,0,-0.0002625920049463314
260,1,-0.00046517337164315493
260,3,-0.000005273662149199215
